time	n	w1	w2	w3
1.000000000000000000e+00	8.364176575871828945e-01	-6.532644039333430186e+00	-9.717156019785226917e-01	-9.581532824714702912e+00
2.000000000000000000e+00	6.978413101616017800e-01	-6.758509740589582648e+00	-9.035152112801327906e-01	-9.529841804997010613e+00
3.000000000000000000e+00	2.880268291527270375e-01	-6.969723759542094221e+00	-8.334596741238097239e-01	-9.477403641476882967e+00
6.000000000000000000e+00	7.557637963273329262e-01	-7.507533411375170829e+00	-6.124694200696845225e-01	-9.315811178141595761e+00
1.100000000000000000e+01	2.137261466632678353e+00	-8.051767340766277314e+00	-2.097099047851193054e-01	-9.033512973878979224e+00
1.600000000000000000e+01	4.842057913647695999e-01	-8.145847563910070477e+00	2.333107111554607871e-01	-8.737395177975672667e+00
1.800000000000000000e+01	2.544831821505393887e-01	-8.070178917116532347e+00	4.211375128227445863e-01	-8.615721128408468488e+00
1.900000000000000000e+01	4.347062263562131434e-01	-8.011769333963687956e+00	5.172424324307444143e-01	-8.554282836502776988e+00
2.000000000000000000e+01	7.387642831271244992e-01	-7.941262120658992174e+00	6.147785139770548524e-01	-8.492476297319745626e+00
2.200000000000000000e+01	1.192585955529015918e+00	-7.769412584104506081e+00	8.140696117765373607e-01	-8.367861025313320766e+00
2.600000000000000000e+01	2.298698397964045181e-01	-7.344583962183457437e+00	1.229025613320142929e+00	-8.115271479829212709e+00
3.000000000000000000e+01	1.569030817178400650e+00	-6.896075127912115299e+00	1.664865001970371905e+00	-7.859501481474358897e+00
3.400000000000000000e+01	9.322892188656809465e-01	-6.519335514994548220e+00	2.120524668103027199e+00	-7.602122467597218325e+00
3.700000000000000000e+01	1.700842490454446132e+00	-6.329371592123413492e+00	2.474641588537739079e+00	-7.408994226467017441e+00
3.900000000000000000e+01	1.238480765686122975e+00	-6.258479670239950998e+00	2.716360914222203604e+00	-7.280568726958200898e+00
4.000000000000000000e+01	1.016602527628152286e+00	-6.241010578866471370e+00	2.838861030417180853e+00	-7.216527194538766565e+00
4.100000000000000000e+01	8.625929370842431165e-01	-6.235739083077653788e+00	2.962430613830390858e+00	-7.152634936365998897e+00
