time	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
1.000000000000000000e+00	-6.145674754089192504e+00	1.000000000000000000e+00	-1.494416016506847411e+00	1.000000000000000000e+00	-8.695819170201628978e+00	1.000000000000000000e+00
2.000000000000000000e+00	-5.185935008859363649e+00	1.000000000000000000e+00	-1.100077955537046126e+00	1.000000000000000000e+00	-7.119885007578299785e+00	1.000000000000000000e+00
3.000000000000000000e+00	-1.567747224265628958e+00	1.000000000000000000e+00	1.996614631011581487e-01	1.000000000000000000e+00	-2.290026309189391096e+00	1.000000000000000000e+00
6.000000000000000000e+00	-6.007649545456033913e+00	1.000000000000000000e+00	-7.966098074671067453e-01	1.000000000000000000e+00	-7.374280415281738499e+00	1.000000000000000000e+00
1.100000000000000000e+01	-1.674344463591329202e+01	1.000000000000000000e+00	1.708254112949936232e-02	1.000000000000000000e+00	-1.884169174759997034e+01	1.000000000000000000e+00
1.600000000000000000e+01	-4.251641990520298009e+00	1.000000000000000000e+00	-1.944050269715346113e-01	1.000000000000000000e+00	-4.538072771118874194e+00	1.000000000000000000e+00
1.800000000000000000e+01	-2.321553612500388386e+00	1.000000000000000000e+00	-1.606563867622836372e-01	1.000000000000000000e+00	-2.460384930427402583e+00	1.000000000000000000e+00
1.900000000000000000e+01	-3.542529447975898638e+00	1.000000000000000000e+00	1.650850715411648351e-01	1.000000000000000000e+00	-3.778363445411958121e+00	1.000000000000000000e+00
2.000000000000000000e+01	-5.829161494933437382e+00	1.000000000000000000e+00	4.917357309200091620e-01	1.000000000000000000e+00	-6.236378841003727302e+00	1.000000000000000000e+00
2.200000000000000000e+01	-9.873017538953250849e+00	1.000000000000000000e+00	3.635227773878394464e-01	1.000000000000000000e+00	-1.058671874504711496e+01	1.000000000000000000e+00
2.600000000000000000e+01	-1.371616271814137367e+00	1.000000000000000000e+00	5.991979877837947388e-01	1.000000000000000000e+00	-1.548774088028455953e+00	1.000000000000000000e+00
3.000000000000000000e+01	-1.059804749924821010e+01	1.000000000000000000e+00	2.834331388556672326e+00	1.000000000000000000e+00	-1.210969313806918457e+01	1.000000000000000000e+00
3.400000000000000000e+01	-5.404688341234233917e+00	1.000000000000000000e+00	2.650160159974503049e+00	1.000000000000000000e+00	-6.414158943474128627e+00	1.000000000000000000e+00
3.700000000000000000e+01	-1.211071723160832292e+01	1.000000000000000000e+00	2.863522472581161438e+00	1.000000000000000000e+00	-1.394698528175628738e+01	1.000000000000000000e+00
3.900000000000000000e+01	-7.076735035049917855e+00	1.000000000000000000e+00	4.038432403905662937e+00	1.000000000000000000e+00	-8.342572672613744800e+00	1.000000000000000000e+00
4.000000000000000000e+01	-5.970293267039367358e+00	1.000000000000000000e+00	3.260327161497492465e+00	1.000000000000000000e+00	-6.962005924275083579e+00	1.000000000000000000e+00
4.100000000000000000e+01	-5.353232735304438883e+00	1.000000000000000000e+00	2.581043479350753511e+00	1.000000000000000000e+00	-6.144140622392795237e+00	1.000000000000000000e+00
4.200000000000000000e+01	-4.704383563846723959e+00	1.000000000000000000e+00	2.009750569095607453e+00	1.000000000000000000e+00	-5.313399967577354666e+00	1.000000000000000000e+00
4.500000000000000000e+01	1.734340451544996276e+00	1.000000000000000000e+00	3.232358228925913401e-02	1.000000000000000000e+00	1.832414504686971535e+00	1.000000000000000000e+00
4.800000000000000000e+01	1.139048527894146723e+01	1.000000000000000000e+00	-5.910586854187092065e+00	1.000000000000000000e+00	1.170536190343826988e+01	1.000000000000000000e+00
5.500000000000000000e+01	-4.705971809735816969e+00	1.000000000000000000e+00	4.821300498301980042e+00	1.000000000000000000e+00	-3.960452610796362016e+00	1.000000000000000000e+00
5.600000000000000000e+01	-7.164504306659689625e+00	1.000000000000000000e+00	4.935044416012813961e+00	1.000000000000000000e+00	-6.062772393156914852e+00	1.000000000000000000e+00
5.900000000000000000e+01	-1.723298753197783384e+01	1.000000000000000000e+00	1.208058394484185349e+01	1.000000000000000000e+00	-1.351852609881838774e+01	1.000000000000000000e+00
6.100000000000000000e+01	-2.089390050726899162e+01	1.000000000000000000e+00	1.385555944527826355e+01	1.000000000000000000e+00	-1.575231971910411666e+01	1.000000000000000000e+00
6.400000000000000000e+01	-1.528090001492189387e+01	1.000000000000000000e+00	9.707900104125071650e+00	1.000000000000000000e+00	-1.088418062595577673e+01	1.000000000000000000e+00
6.800000000000000000e+01	2.458605166164572697e+00	1.000000000000000000e+00	-2.619156417456720121e+00	1.000000000000000000e+00	1.409860733169619573e+00	1.000000000000000000e+00
6.900000000000000000e+01	1.370239325103096739e+01	1.000000000000000000e+00	-1.011164782256278727e+01	1.000000000000000000e+00	8.626996853562744150e+00	1.000000000000000000e+00
7.100000000000000000e+01	2.405400966157577614e+01	1.000000000000000000e+00	-1.794849028733636231e+01	1.000000000000000000e+00	1.459416794750787538e+01	1.000000000000000000e+00
7.300000000000000000e+01	1.960895797438817567e+01	1.000000000000000000e+00	-1.652488992843920812e+01	1.000000000000000000e+00	1.107939069301387924e+01	1.000000000000000000e+00
7.600000000000000000e+01	3.423568067451597141e+00	1.000000000000000000e+00	-1.537549978216530722e+00	1.000000000000000000e+00	2.181249939347959632e+00	1.000000000000000000e+00
7.700000000000000000e+01	-3.221595765579304826e-02	1.000000000000000000e+00	-3.856524541299780617e-01	1.000000000000000000e+00	-1.222677091273048910e-01	1.000000000000000000e+00
7.900000000000000000e+01	-7.685398567204907216e+00	1.000000000000000000e+00	6.168510058069077040e+00	1.000000000000000000e+00	-4.040997967833173554e+00	1.000000000000000000e+00
8.300000000000000000e+01	-2.101100085020509312e+01	1.000000000000000000e+00	1.759597817028150146e+01	1.000000000000000000e+00	-1.027500814198095469e+01	1.000000000000000000e+00
8.400000000000000000e+01	-2.043993213763328143e+01	1.000000000000000000e+00	1.952391821069845790e+01	1.000000000000000000e+00	-9.186784294828322928e+00	1.000000000000000000e+00
8.600000000000000000e+01	-1.760454607352232870e+01	1.000000000000000000e+00	1.501474197367836894e+01	1.000000000000000000e+00	-8.200371650760009956e+00	1.000000000000000000e+00
8.900000000000000000e+01	-1.369024768395040859e+01	1.000000000000000000e+00	1.086530309114357351e+01	1.000000000000000000e+00	-6.381336365311958581e+00	1.000000000000000000e+00
9.200000000000000000e+01	1.618101660282893661e+01	1.000000000000000000e+00	-1.487174902877268323e+01	1.000000000000000000e+00	6.680143600033928486e+00	1.000000000000000000e+00
9.400000000000000000e+01	1.687494462010413798e+01	1.000000000000000000e+00	-1.648024411172156078e+01	1.000000000000000000e+00	6.508825323544855657e+00	1.000000000000000000e+00
1.000000000000000000e+02	2.122037558653607547e+01	1.000000000000000000e+00	-2.183680880250710743e+01	1.000000000000000000e+00	7.418652825816958618e+00	1.000000000000000000e+00
1.020000000000000000e+02	3.147990914213059988e+00	1.000000000000000000e+00	-3.127169553465621199e+00	1.000000000000000000e+00	1.128480041824835522e+00	1.000000000000000000e+00
1.190000000000000000e+02	4.595982966885345355e+00	1.000000000000000000e+00	-4.570367890586010340e+00	1.000000000000000000e+00	2.074140761417871293e+00	1.000000000000000000e+00
1.240000000000000000e+02	-8.570986690739742286e+00	1.000000000000000000e+00	1.278688085156926135e+01	1.000000000000000000e+00	-3.488539183215947581e+00	1.000000000000000000e+00
1.270000000000000000e+02	-8.240911078200026552e+00	1.000000000000000000e+00	1.314655970812269459e+01	1.000000000000000000e+00	-3.741480608771473371e+00	1.000000000000000000e+00
1.280000000000000000e+02	-1.054846095302436204e+01	1.000000000000000000e+00	1.823657790059914419e+01	1.000000000000000000e+00	-4.781254633933468945e+00	1.000000000000000000e+00
1.340000000000000000e+02	-9.351508390836674067e+00	1.000000000000000000e+00	1.828438519727670908e+01	1.000000000000000000e+00	-5.674090706957573005e+00	1.000000000000000000e+00
1.350000000000000000e+02	-5.257698755842992178e+00	1.000000000000000000e+00	1.203519362153327243e+01	1.000000000000000000e+00	-3.165723802287911948e+00	1.000000000000000000e+00
1.380000000000000000e+02	6.404650328318616914e+00	1.000000000000000000e+00	-1.401264990442797043e+01	1.000000000000000000e+00	4.686982712694107711e+00	1.000000000000000000e+00
1.440000000000000000e+02	-2.629030709962641765e+00	1.000000000000000000e+00	5.636197258038202484e+00	1.000000000000000000e+00	-2.514028805688758084e+00	1.000000000000000000e+00
1.450000000000000000e+02	-4.688281615496801891e+00	1.000000000000000000e+00	1.149683826184937807e+01	1.000000000000000000e+00	-4.630686993324949263e+00	1.000000000000000000e+00
1.460000000000000000e+02	-5.513952137346867843e+00	1.000000000000000000e+00	1.133133393037146597e+01	1.000000000000000000e+00	-5.618322487735586179e+00	1.000000000000000000e+00
