date(year)	ssMean	ssStd	aaMean(nT)	aaStd(nT)
1.902041999999999916e+03	9.300000000000000711e+00	3.200000000000000178e+00	6.092741935483870996e+00	7.902854459676076360e+00
1.902123000000000047e+03	0.000000000000000000e+00	2.000000000000000000e+00	7.580357142857143238e+00	8.009635261065644940e+00
1.902203999999999951e+03	2.069999999999999929e+01	4.299999999999999822e+00	5.943548387096774022e+00	7.813658863061776039e+00
1.902288000000000011e+03	0.000000000000000000e+00	2.000000000000000000e+00	7.887500000000000178e+00	1.245357420247965052e+01
1.902371000000000095e+03	4.700000000000000178e+00	2.500000000000000000e+00	5.596774193548387011e+00	7.365371631600953428e+00
1.902454999999999927e+03	2.399999999999999911e+00	2.299999999999999822e+00	5.379166666666666430e+00	4.887269105088807741e+00
1.902538000000000011e+03	1.500000000000000000e+00	2.200000000000000178e+00	6.298387096774193949e+00	7.301104466503766766e+00
1.902623000000000047e+03	3.799999999999999822e+00	2.399999999999999911e+00	6.189516129032258007e+00	8.035729873793577838e+00
1.902707000000000107e+03	1.259999999999999964e+01	3.500000000000000000e+00	7.025000000000000355e+00	7.258285495441285207e+00
1.902789999999999964e+03	2.719999999999999929e+01	4.700000000000000178e+00	7.233870967741935054e+00	8.506267965037787704e+00
1.902874000000000024e+03	1.719999999999999929e+01	4.000000000000000000e+00	7.612499999999999822e+00	9.163551554028238399e+00
1.902958000000000084e+03	1.800000000000000044e+00	2.200000000000000178e+00	6.108870967741935054e+00	4.850199731450611118e+00
1.903041999999999916e+03	1.390000000000000036e+01	3.500000000000000000e+00	6.532258064516129004e+00	6.633779008483981166e+00
1.903123000000000047e+03	2.839999999999999858e+01	4.799999999999999822e+00	5.919642857142856762e+00	6.660301356407475559e+00
1.903203999999999951e+03	2.250000000000000000e+01	4.400000000000000355e+00	6.701612903225806051e+00	6.503075995138237531e+00
1.903288000000000011e+03	4.350000000000000000e+01	5.900000000000000355e+00	1.031666666666666643e+01	1.726484063703520633e+01
1.903371000000000095e+03	2.430000000000000071e+01	4.500000000000000000e+00	7.834677419354838968e+00	7.138102489738169076e+00
1.903454999999999927e+03	2.719999999999999929e+01	4.700000000000000178e+00	1.133750000000000036e+01	1.158261313708324280e+01
1.903538000000000011e+03	4.639999999999999858e+01	6.099999999999999645e+00	1.083064516129032206e+01	9.997355919952960690e+00
1.903623000000000047e+03	4.800000000000000000e+01	6.200000000000000178e+00	1.414919354838709609e+01	1.637532071081033180e+01
1.903707000000000107e+03	1.850000000000000000e+01	4.000000000000000000e+00	1.400000000000000000e+01	1.348919320542682954e+01
1.903789999999999964e+03	6.479999999999999716e+01	7.200000000000000178e+00	2.629838709677419217e+01	6.772983330836706273e+01
1.903874000000000024e+03	7.420000000000000284e+01	7.700000000000000178e+00	1.632499999999999929e+01	1.533142877664483450e+01
1.903958000000000084e+03	7.620000000000000284e+01	7.799999999999999822e+00	1.347983870967741993e+01	2.268542760849874540e+01
1.904041999999999916e+03	5.260000000000000142e+01	6.500000000000000000e+00	1.505645161290322598e+01	1.499935612561894338e+01
1.904124000000000024e+03	4.079999999999999716e+01	5.700000000000000178e+00	1.256034482758620641e+01	1.104675704722450469e+01
1.904205999999999904e+03	6.189999999999999858e+01	7.000000000000000000e+00	8.737903225806451957e+00	9.005366614502849032e+00
1.904289999999999964e+03	7.159999999999999432e+01	7.599999999999999645e+00	1.309166666666666679e+01	1.654740454640008451e+01
1.904373000000000047e+03	6.570000000000000284e+01	7.200000000000000178e+00	1.301209677419354804e+01	1.452597280481133879e+01
1.904455999999999904e+03	6.979999999999999716e+01	7.500000000000000000e+00	1.048750000000000071e+01	1.432218013257758393e+01
1.904539999999999964e+03	8.429999999999999716e+01	8.199999999999999289e+00	1.078225806451612989e+01	1.041444443864677716e+01
1.904624000000000024e+03	9.709999999999999432e+01	8.800000000000000711e+00	1.021774193548387011e+01	1.144908820420194928e+01
1.904708000000000084e+03	5.020000000000000284e+01	6.299999999999999822e+00	1.117916666666666714e+01	1.229317151805107677e+01
1.904790999999999940e+03	9.040000000000000568e+01	8.500000000000000000e+00	1.301612903225806406e+01	1.489505431611865127e+01
1.904874000000000024e+03	6.339999999999999858e+01	7.099999999999999645e+00	1.155833333333333357e+01	1.234388906391426666e+01
1.904958000000000084e+03	9.109999999999999432e+01	8.500000000000000000e+00	1.056854838709677402e+01	9.645497586919587363e+00
1.905041999999999916e+03	9.120000000000000284e+01	8.500000000000000000e+00	1.601209677419354804e+01	1.495436117606442927e+01
1.905123000000000047e+03	1.430000000000000000e+02	1.069999999999999929e+01	2.029464285714285765e+01	2.128070822904143355e+01
1.905203999999999951e+03	9.429999999999999716e+01	8.699999999999999289e+00	1.663709677419354804e+01	2.127520693861653811e+01
1.905288000000000011e+03	6.550000000000000000e+01	7.200000000000000178e+00	1.655833333333333357e+01	2.027942135652680733e+01
1.905371000000000095e+03	7.990000000000000568e+01	8.000000000000000000e+00	1.063306451612903203e+01	9.283094431365228161e+00
1.905454999999999927e+03	8.159999999999999432e+01	8.099999999999999645e+00	1.382916666666666750e+01	1.445625525411827361e+01
1.905538000000000011e+03	1.215999999999999943e+02	9.800000000000000711e+00	1.177822580645161210e+01	1.400213152255105342e+01
