aa_mean	aa_std
1.055645161290322598e+01	9.413701766963733064e+00
1.596551724137930961e+01	1.542581302528596332e+01
1.972177419354838790e+01	2.133902626676127312e+01
2.097916666666666785e+01	2.161412499514045749e+01
1.639919354838709609e+01	1.848118919843486196e+01
1.794583333333333286e+01	1.570566456109245834e+01
2.145564516129032384e+01	2.029296637412052462e+01
1.937096774193548399e+01	2.272112408549886808e+01
2.403750000000000142e+01	2.253503406735092440e+01
2.594354838709677580e+01	2.749114297819679109e+01
1.332083333333333286e+01	1.509888183405939799e+01
1.368951612903225801e+01	1.341747367300822802e+01
1.919758064516129181e+01	1.883280838234374954e+01
2.360714285714285765e+01	2.564049432010997265e+01
2.233467741935483986e+01	2.012974265637965843e+01
2.951666666666666572e+01	3.890383085964100474e+01
2.314919354838709609e+01	4.681257584681868167e+01
1.919999999999999929e+01	2.080028044682731192e+01
1.741129032258064413e+01	1.674115659509579146e+01
1.985483870967741993e+01	2.123208677556101875e+01
2.976666666666666572e+01	3.102746990795235504e+01
1.794758064516129181e+01	1.804232462898530898e+01
1.467916666666666714e+01	1.344902348272501591e+01
1.464112903225806406e+01	1.722936592966175695e+01
2.157661290322580783e+01	3.044445923653423947e+01
2.316517857142857295e+01	2.874230396937782217e+01
2.120161290322580783e+01	1.815479135136084210e+01
2.576249999999999929e+01	2.619394510982770186e+01
2.091532258064516014e+01	2.608633477498738173e+01
1.637916666666666643e+01	1.648338757574492774e+01
1.412903225806451601e+01	1.289940467614530739e+01
2.144758064516129181e+01	2.539187374360620453e+01
3.521666666666666856e+01	4.568664708886198866e+01
2.624193548387096797e+01	5.306400137018685825e+01
2.186666666666666714e+01	2.429366629848657055e+01
1.986290322580645196e+01	2.288869797076903367e+01
1.931048387096774022e+01	2.002670522943087761e+01
2.483482142857142705e+01	3.639030043898429767e+01
2.137903225806451601e+01	2.763838866677530604e+01
3.118333333333333357e+01	3.747565506061531693e+01
1.720161290322580783e+01	1.417743541046468891e+01
1.712083333333333357e+01	2.435993088329457379e+01
2.148790322580645196e+01	2.284696313814586688e+01
2.354838709677419217e+01	2.853559035228431640e+01
1.768333333333333357e+01	1.465320404856524483e+01
2.001612903225806406e+01	1.683697154544309171e+01
2.810000000000000142e+01	3.686696805181208703e+01
1.572983870967741993e+01	1.247786737257347944e+01
1.700000000000000000e+01	1.523816304228386365e+01
2.800000000000000000e+01	6.420172948578189676e+01
2.304838709677419217e+01	2.108693787659664665e+01
2.344583333333333286e+01	2.709238021976331012e+01
2.037903225806451601e+01	2.056601986911964275e+01
1.766666666666666785e+01	2.119034109106211261e+01
2.529435483870967616e+01	3.942027029419811157e+01
2.522983870967741993e+01	3.584520366493175914e+01
2.065416666666666501e+01	2.264934655361067328e+01
3.864112903225806406e+01	5.883516683744342401e+01
2.495416666666666572e+01	2.273364758763733917e+01
2.049596774193548399e+01	1.906081057746304452e+01
2.939516129032258007e+01	2.920114297044615981e+01
2.063392857142857295e+01	1.899388789646473086e+01
2.409274193548387188e+01	3.106943751213561100e+01
2.075833333333333286e+01	2.003205590769177391e+01
2.080645161290322420e+01	1.726252580262715597e+01
2.581250000000000000e+01	2.135596740374923996e+01
2.058064516129032384e+01	1.772395716673573673e+01
1.875000000000000000e+01	1.609729740891208394e+01
1.927083333333333215e+01	1.649032492015309614e+01
1.655645161290322420e+01	1.696024879009303277e+01
1.461250000000000071e+01	1.348069027968029054e+01
1.211290322580645196e+01	1.261892439400452481e+01
1.775806451612903203e+01	2.262790561194152161e+01
1.605803571428571530e+01	2.510871411906651574e+01
1.271370967741935409e+01	1.549071956656327664e+01
1.914166666666666572e+01	2.274030776445697555e+01
1.401612903225806406e+01	1.440569100747012143e+01
1.279166666666666607e+01	1.479126760025057052e+01
1.306048387096774199e+01	1.417006339223866718e+01
1.296774193548387011e+01	1.227108815788412244e+01
1.569166666666666643e+01	1.687591767052157010e+01
1.781854838709677580e+01	2.493530618755288941e+01
1.428749999999999964e+01	1.462463140561156116e+01
1.013709677419354804e+01	1.082361119558603590e+01
1.004032258064516192e+01	9.473987471261462900e+00
1.345982142857142883e+01	2.076157577207329652e+01
1.267338709677419395e+01	1.333600274342865966e+01
1.269166666666666643e+01	1.604020772586467558e+01
1.298790322580645196e+01	1.447480621488166008e+01
1.007916666666666750e+01	9.878743137273193753e+00
1.181854838709677402e+01	1.218851169124674705e+01
8.669354838709677935e+00	9.132732494142887347e+00
1.313749999999999929e+01	1.437829128988096095e+01
1.191129032258064591e+01	1.306961021753492957e+01
9.762499999999999289e+00	1.166180776795204466e+01
8.516129032258064058e+00	9.311356118071321575e+00
9.782258064516129892e+00	1.218014015748519085e+01
1.255603448275862100e+01	1.968734841777705924e+01
1.101209677419354804e+01	1.489086152288914988e+01
6.462500000000000355e+00	5.493049585612713059e+00
7.576612903225806051e+00	7.409819214099623075e+00
7.733333333333333393e+00	7.515243767762219917e+00
9.145161290322580072e+00	8.552205477090254249e+00
1.016129032258064591e+01	9.270041146143670474e+00
1.010416666666666607e+01	1.142993070723625237e+01
1.047983870967741993e+01	1.227242831505562215e+01
1.017916666666666714e+01	1.281133870075861836e+01
1.008467741935483808e+01	1.296260467873768008e+01
9.330645161290322065e+00	1.307282441913163495e+01
9.575892857142857650e+00	8.401400239752918608e+00
1.043548387096774199e+01	1.161182790720367386e+01
8.937500000000000000e+00	9.576025293234488700e+00
1.301612903225806406e+01	1.695748187282597996e+01
8.945833333333332860e+00	9.183385321994402162e+00
7.834677419354838968e+00	1.003144688012875640e+01
7.600806451612903025e+00	9.388883234011052181e+00
7.404166666666666785e+00	8.940496778081678642e+00
6.947580645161290036e+00	8.074831104891829980e+00
1.160416666666666607e+01	1.536898877519995743e+01
6.770161290322580960e+00	7.534838224591132061e+00
7.447580645161290036e+00	1.188746265358047616e+01
7.450892857142856762e+00	7.938226856885456151e+00
6.185483870967741993e+00	5.876232795136956177e+00
8.508333333333332860e+00	9.576008069939977219e+00
7.326612903225806051e+00	1.088105492447818357e+01
8.650000000000000355e+00	1.734413925989602490e+01
4.814516129032258007e+00	3.790622843288742772e+00
6.443548387096774022e+00	6.531317136533891343e+00
7.858333333333333393e+00	7.456312575410329657e+00
6.762096774193548043e+00	6.915668194128454793e+00
7.062500000000000000e+00	7.656713421349049753e+00
9.322580645161290036e+00	1.000608555724866022e+01
6.225806451612903025e+00	5.652345658787154115e+00
5.816964285714285587e+00	4.501733562768132302e+00
8.576612903225806051e+00	8.508189687200319540e+00
5.549999999999999822e+00	6.050964110508891380e+00
6.241935483870967971e+00	7.662088243677580124e+00
5.937500000000000000e+00	6.885389876397704612e+00
5.834677419354838968e+00	8.120121804612795202e+00
8.032258064516129892e+00	7.306024341277423062e+00
8.900000000000000355e+00	9.333988072272930481e+00
6.963709677419354982e+00	7.108795491155138535e+00
7.145833333333333037e+00	5.993710534570569237e+00
9.278225806451612101e+00	1.126044361473491762e+01
7.294354838709677047e+00	7.173965053146475590e+00
4.681034482758620996e+00	4.421926436815073025e+00
9.806451612903225978e+00	1.170172128181730820e+01
8.933333333333333570e+00	1.048469784442493413e+01
1.308467741935483808e+01	1.576455059749890353e+01
7.258333333333333748e+00	7.879822156763578889e+00
9.895161290322580072e+00	9.540929274740397759e+00
2.313306451612903203e+01	3.683685746678312967e+01
1.137916666666666643e+01	1.542353394347597373e+01
1.435887096774193594e+01	1.713031886836137829e+01
1.446666666666666679e+01	1.664328359696153470e+01
1.458870967741935409e+01	1.211038750130819963e+01
1.512903225806451601e+01	2.781200359961083279e+01
1.280357142857142883e+01	1.265605394783904458e+01
1.318145161290322598e+01	1.398744175770101350e+01
1.142083333333333250e+01	1.375143868736003228e+01
8.544354838709677935e+00	8.926110687366684004e+00
1.072499999999999964e+01	1.258799858330677424e+01
1.223387096774193594e+01	1.299293162116937062e+01
7.762096774193548043e+00	6.542344612055591035e+00
1.793333333333333357e+01	2.966429765822132936e+01
1.402822580645161210e+01	1.426008449327924055e+01
2.017083333333333428e+01	1.964963907994806291e+01
2.033467741935483986e+01	1.380030705803105384e+01
1.569354838709677402e+01	1.290266127797324991e+01
1.950446428571428470e+01	2.260372870786420663e+01
1.645967741935483986e+01	1.514760664239456389e+01
3.594166666666666998e+01	6.397842029847946321e+01
2.060887096774193594e+01	1.947134582926166146e+01
1.900000000000000000e+01	2.167025611293045984e+01
1.448790322580645196e+01	1.731351836525965027e+01
1.968145161290322420e+01	2.112633224253211850e+01
1.502500000000000036e+01	1.513134852990087431e+01
2.503629032258064413e+01	3.162587965033776527e+01
5.495416666666666572e+01	9.439029116372203987e+01
2.012096774193548399e+01	1.927437407122910784e+01
1.539112903225806406e+01	1.460764554617565736e+01
2.672321428571428470e+01	3.011012816711008355e+01
2.331854838709677580e+01	2.141222091106928715e+01
1.778750000000000142e+01	2.530531585293229924e+01
1.393951612903225801e+01	1.513515624645410185e+01
1.851249999999999929e+01	1.827999390271597946e+01
2.152822580645161210e+01	2.295751707830409671e+01
1.244758064516129004e+01	1.286990089260332404e+01
1.947500000000000142e+01	3.023035519142969463e+01
1.365322580645161210e+01	1.938865828878661546e+01
1.755833333333333357e+01	2.381728918010798424e+01
1.198790322580645196e+01	1.257092198187967824e+01
9.088709677419354094e+00	8.329903473837781291e+00
1.426724137931034520e+01	1.625993476607173704e+01
1.745967741935483986e+01	1.707521274299451619e+01
1.556666666666666643e+01	1.465732657145300344e+01
1.278225806451612989e+01	1.370899191834591768e+01
1.311666666666666714e+01	1.501814643097550217e+01
1.546774193548387011e+01	2.117646117282985330e+01
1.295564516129032206e+01	1.441276765086985279e+01
1.347916666666666607e+01	1.759567842697619966e+01
1.604435483870967616e+01	2.070652383724696222e+01
1.689999999999999858e+01	2.068872478751006483e+01
1.321370967741935409e+01	1.433635034020175958e+01
1.316532258064516192e+01	1.558382921365791418e+01
1.550892857142857117e+01	1.786631683989370600e+01
1.325806451612903203e+01	2.148043782508000987e+01
1.401249999999999929e+01	1.323677996153142900e+01
2.116935483870967616e+01	2.873999735509493192e+01
1.422916666666666607e+01	1.891696723329496876e+01
1.297580645161290391e+01	1.274784213850899128e+01
1.768951612903225978e+01	1.598021618887830364e+01
2.211250000000000071e+01	1.894443217456428741e+01
1.594758064516129004e+01	1.251552560795975388e+01
1.371250000000000036e+01	1.551278538550271868e+01
1.208870967741935409e+01	1.368010805511359251e+01
1.773790322580645196e+01	2.446936561637947705e+01
1.707589285714285765e+01	1.620126067369733391e+01
2.764112903225806406e+01	4.072661908323710378e+01
2.157083333333333286e+01	2.032289306764391057e+01
2.262500000000000000e+01	1.933930113908946424e+01
2.162083333333333357e+01	1.928843520451798810e+01
1.930645161290322420e+01	1.837190940405717399e+01
1.812500000000000000e+01	1.773336624067203005e+01
1.904166666666666785e+01	2.002910209059696101e+01
2.172580645161290391e+01	2.248219320810160582e+01
2.065416666666666501e+01	1.917314700231086988e+01
2.062500000000000000e+01	1.454555205818670061e+01
1.693145161290322420e+01	1.438943310174497903e+01
2.290178571428571530e+01	1.788153468037657490e+01
1.517741935483870996e+01	1.412475999630343182e+01
2.062083333333333357e+01	1.770975435474912274e+01
1.732258064516129181e+01	1.276938651815144787e+01
1.260416666666666607e+01	1.237763369841837857e+01
1.250806451612903203e+01	1.307731103842979081e+01
1.716532258064516014e+01	1.626819350933692476e+01
1.892916666666666714e+01	2.160418514946171697e+01
1.408467741935483808e+01	1.737225515267059706e+01
1.455000000000000071e+01	1.776998874507240700e+01
1.522177419354838790e+01	1.375136392346094105e+01
1.822177419354838790e+01	2.127041736583354847e+01
1.587500000000000000e+01	1.331795763958029610e+01
1.520967741935483808e+01	1.681602259825354651e+01
1.643750000000000000e+01	1.833678707998396007e+01
1.932258064516129181e+01	2.005739682844757610e+01
1.453749999999999964e+01	1.540909667750405987e+01
1.290725806451612989e+01	1.231817221325218448e+01
1.366129032258064591e+01	1.570205816423860057e+01
1.509166666666666679e+01	1.382027244867320270e+01
1.500000000000000000e+01	1.651172603861248334e+01
1.531250000000000000e+01	1.426965931910546104e+01
1.403225806451612989e+01	1.351220206252718903e+01
9.846774193548387899e+00	1.187674900861037663e+01
1.100000000000000000e+01	1.145682890556669697e+01
1.391129032258064591e+01	1.415781563294133250e+01
1.155833333333333357e+01	1.148244735333988942e+01
1.016532258064516192e+01	1.147019661469727048e+01
9.849999999999999645e+00	1.158242202650205677e+01
1.351209677419354804e+01	2.038084605520876380e+01
1.260483870967741993e+01	1.232674678349109243e+01
1.459166666666666679e+01	1.704039115030976959e+01
1.358870967741935409e+01	1.361155349905543588e+01
1.848750000000000071e+01	2.092526010391905800e+01
1.176209677419354804e+01	9.523096649571836991e+00
1.170161290322580605e+01	1.141128462327453619e+01
1.179464285714285765e+01	1.055016790054034281e+01
9.995967741935483986e+00	1.003200442449827356e+01
8.437500000000000000e+00	6.448211153749025648e+00
8.447580645161290036e+00	8.042056426441996919e+00
7.275000000000000355e+00	6.497387295418572073e+00
9.975806451612903913e+00	1.054748380762997151e+01
1.031854838709677402e+01	9.773201236490988819e+00
1.383333333333333393e+01	1.287460894767509245e+01
1.564516129032258007e+01	1.474251781160865171e+01
1.330833333333333357e+01	1.376698698174569735e+01
8.262096774193548043e+00	5.764170375662660106e+00
1.036693548387096797e+01	1.094333072619732228e+01
