BJD	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
5.722218923933333281e+04	1.040516868495582941e+02	2.367136103677465464e-01	-1.839000000000000412e+01	4.734272207354930928e-01	7.049312389976576924e+03	5.562769843642044743e-01
5.723485324333333847e+04	1.038405717089872837e+02	2.367136103677465464e-01	-1.948000000000000043e+01	4.734272207354930928e-01	7.051236061522832642e+03	5.562769843642044743e-01
5.723585891899999842e+04	1.058480931903221602e+02	2.367136103677465464e-01	-1.825333333333333385e+01	4.734272207354930928e-01	7.052323239985996224e+03	5.562769843642044743e-01
5.723784327166667208e+04	1.057510376828786178e+02	2.367136103677465464e-01	-1.848333333333333428e+01	4.734272207354930928e-01	7.052125392392349568e+03	5.562769843642044743e-01
5.723984861200000159e+04	1.028297949346191302e+02	2.367136103677465464e-01	-1.936666666666666359e+01	4.734272207354930928e-01	7.050326939939757722e+03	5.562769843642044743e-01
5.725191156833333662e+04	1.031149901267122999e+02	3.002221399786053069e-01	-2.050666666666666416e+01	6.004442799572106138e-01	7.047301305956283613e+03	7.055220289497224906e-01
5.725290096699999413e+04	1.014764694163297492e+02	2.367136103677465464e-01	-2.065333333333333599e+01	4.734272207354930928e-01	7.048603699847123607e+03	5.562769843642044743e-01
5.725387449799999740e+04	1.030518088981605871e+02	2.367136103677465464e-01	-2.006666666666666643e+01	4.734272207354930928e-01	7.047932855153027049e+03	5.562769843642044743e-01
5.725490806799999700e+04	9.950935582532662238e+01	2.367136103677465464e-01	-2.216333333333333044e+01	4.734272207354930928e-01	7.048469844873064176e+03	5.562769843642044743e-01
5.725585217733334139e+04	1.026194151739822047e+02	2.367136103677465464e-01	-2.196999999999999886e+01	4.734272207354930928e-01	7.048761363020290446e+03	5.562769843642044743e-01
5.725685217466667382e+04	1.040228178946892257e+02	2.367136103677465464e-01	-2.056333333333333258e+01	4.734272207354930928e-01	7.051214117144474585e+03	5.562769843642044743e-01
5.725985930400000507e+04	1.063989578652877555e+02	2.367136103677465464e-01	-1.805333333333333101e+01	4.734272207354930928e-01	7.052997436041048786e+03	5.562769843642044743e-01
5.726086948200000188e+04	1.038942316180524585e+02	2.367136103677465464e-01	-1.842666666666666586e+01	4.734272207354930928e-01	7.052442425629385070e+03	5.562769843642044743e-01
5.726202788599999622e+04	1.016711603719374040e+02	2.367136103677465464e-01	-1.776333333333333186e+01	4.734272207354930928e-01	7.050743097283118004e+03	5.562769843642044743e-01
5.726284981600000174e+04	1.018117799319864361e+02	2.367136103677465464e-01	-1.917000000000000171e+01	4.734272207354930928e-01	7.050658641241195255e+03	5.562769843642044743e-01
5.726393255299999873e+04	1.025407359395860141e+02	2.367136103677465464e-01	-2.032666666666666799e+01	4.734272207354930928e-01	7.048302090442946792e+03	5.562769843642044743e-01
5.726487591433333000e+04	1.020924644763798455e+02	2.424871130596428503e-01	-2.064666666666666828e+01	4.849742261192857007e-01	7.047649598651849374e+03	5.698447156901605970e-01
5.726592050999999628e+04	1.023465640717083005e+02	2.367136103677465464e-01	-1.905000000000000071e+01	4.734272207354930928e-01	7.048260917192820671e+03	5.562769843642044743e-01
5.726690311199999996e+04	1.028404969452168274e+02	2.367136103677465464e-01	-1.909666666666666757e+01	4.734272207354930928e-01	7.049082788086670007e+03	5.562769843642044743e-01
5.726803011900000274e+04	1.015020134607343465e+02	2.367136103677465464e-01	-2.013666666666666671e+01	4.734272207354930928e-01	7.047559222447616776e+03	5.562769843642044743e-01
5.726887436799999705e+04	1.021565583462139415e+02	2.367136103677465464e-01	-2.016333333333333044e+01	4.734272207354930928e-01	7.047828812171100253e+03	5.562769843642044743e-01
5.727012724366666953e+04	1.015537572542062179e+02	2.944486372867091695e-01	-1.977666666666666728e+01	5.888972745734183389e-01	7.047184850034614101e+03	6.919542976237664789e-01
5.727287740499999927e+04	1.003003301779944110e+02	3.002221399786053069e-01	-2.076333333333333542e+01	6.004442799572106138e-01	7.048491683154931707e+03	7.055220289497224906e-01
5.727396821666666074e+04	1.010762917359779749e+02	2.983100549577383798e-01	-2.086666666666666714e+01	5.966201099154767595e-01	7.048422545556164550e+03	7.010286291506849787e-01
5.727509929066666518e+04	1.029935718958995921e+02	2.944486372867091695e-01	-1.998666666666666458e+01	5.888972745734183389e-01	7.047510257743481816e+03	6.919542976237664789e-01
5.727789993866666919e+04	1.007630658805618253e+02	2.424871130596428503e-01	-2.030000000000000071e+01	4.849742261192857007e-01	7.048919230387477000e+03	5.698447156901605970e-01
5.727907727866666391e+04	1.018342943829249947e+02	2.367136103677465464e-01	-2.066000000000000014e+01	4.734272207354930928e-01	7.048421278553402772e+03	5.562769843642044743e-01
5.727997833666665974e+04	1.021795741339296910e+02	2.367136103677465464e-01	-2.087666666666666515e+01	4.734272207354930928e-01	7.048239652471850604e+03	5.562769843642044743e-01
5.728089265500000329e+04	1.031704644691313177e+02	2.367136103677465464e-01	-2.121333333333333471e+01	4.734272207354930928e-01	7.049785047941761150e+03	5.562769843642044743e-01
5.728188630666667450e+04	1.033766804058525395e+02	2.367136103677465464e-01	-2.207999999999999829e+01	4.734272207354930928e-01	7.050454490022852951e+03	5.562769843642044743e-01
